t,urllc_p95_ms,urllc_p50_ms,urllc_loss,embb_p95_ms,embb_mbit,cap_mbit,breach,predicted,cell_mbit
1789821533.411,1.54,0.575,0.0,875.0,32.765856,43.599999999999994,0.0,0.0,50.0
1789821535.411,2.18,0.617,0.0,868.0,35.62565917041479,44.599999999999994,0.0,0.0,50.0
1789821537.411,3.6,0.693,0.0,844.0,35.562392205845626,45.599999999999994,0.0,0.0,50.0
1789821539.411,3.6,0.62,0.0,836.0,53.790624343914025,46.599999999999994,0.0,0.0,50.0
1789821541.411,3.6,0.589,0.0,826.0,53.9403672754566,47.599999999999994,0.0,0.0,50.0
1789821543.411,2.24,0.571,0.0,804.0,35.8274225669252,48.599999999999994,0.0,0.0,50.0
1789821545.411,1.42,0.52,0.0,787.0,35.92027579315514,49.599999999999994,0.0,0.0,50.0
1789821547.411,1.28,0.504,0.0,768.0,53.788312,50.599999999999994,0.0,0.0,50.0
1789821549.411,1.38,0.533,0.0,758.0,53.80709932449338,51.599999999999994,0.0,0.0,50.0
1789821551.411,7.07,0.63,0.0,754.0,35.539928,52.599999999999994,0.0,0.0,50.0
1789821553.411,22.4,1.56,0.0,749.0,34.667746126936535,53.599999999999994,0.0,0.0,50.0
1789821555.411,22.4,0.958,0.0,731.0,32.03781309345327,37.519999999999996,1.0,0.0,50.0
1789821557.411,21.4,0.58,0.0,1067.0,26.174479239619806,26.263999999999996,1.0,0.0,50.0
1789821559.411,0.923,0.54,0.0,1275.0,19.780226113056525,18.384799999999995,1.0,0.0,50.0
1789821561.411,1.21,0.567,0.0,1581.0,22.794632,19.384799999999995,0.0,0.0,50.0
1789821563.411,1.25,0.546,0.0,1725.0,21.280504,20.384799999999995,0.0,0.0,50.0
1789821565.411,2.31,0.495,0.0,1725.0,14.59143228385807,21.384799999999995,0.0,0.0,50.0
1789821567.411,2.31,0.457,0.0,1725.0,15.913216,22.384799999999995,0.0,0.0,50.0
1789821569.411,1.18,0.49,0.0,1725.0,17.643429714857426,23.384799999999995,0.0,0.0,50.0
1789821571.411,0.985,0.574,0.0,1725.0,18.619912,24.384799999999995,0.0,0.0,50.0
1789821573.411,0.902,0.543,0.0,1621.0,19.46529935032484,25.384799999999995,0.0,0.0,50.0
1789821575.411,1.04,0.525,0.0,1464.0,21.786128,26.384799999999995,0.0,0.0,50.0
1789821577.411,1.15,0.57,0.0,1382.0,23.801516758379186,27.384799999999995,0.0,0.0,50.0
1789821579.411,1.16,0.584,0.0,1382.0,24.823064,28.384799999999995,0.0,0.0,50.0
1789821581.411,2.5,0.602,0.0,1307.0,25.935456,29.384799999999995,0.0,0.0,50.0
1789821583.411,2.5,0.61,0.0,1279.0,28.311736,30.384799999999995,0.0,0.0,50.0
1789821585.411,4.34,0.545,0.0,1279.0,29.921096,31.384799999999995,0.0,0.0,50.0
1789821587.411,4.34,0.552,0.0,1193.0,29.748376,32.3848,0.0,0.0,50.0
1789821589.411,2.83,0.552,0.0,1176.0,29.901032,33.3848,0.0,0.0,50.0
1789821591.411,3.32,0.592,0.0,1165.0,29.86931001748689,34.3848,0.0,0.0,50.0
1789821593.411,2.94,0.594,0.0,1129.0,29.860592,35.3848,0.0,0.0,50.0
1789821595.411,2.94,0.599,0.0,1128.0,29.82048712178045,36.3848,0.0,0.0,50.0
1789821597.411,2.24,0.607,0.0,1066.0,29.79694952523738,37.3848,0.0,0.0,50.0
1789821599.411,2.21,0.697,0.0,1048.0,29.96548674337168,38.3848,0.0,0.0,50.0
1789821601.411,1.96,0.644,0.0,963.0,44.925272,39.3848,0.0,0.0,50.0
1789821603.411,1.76,0.531,0.0,931.0,44.652216,40.3848,0.0,0.0,50.0
1789821605.411,3.2,0.55,0.0,908.0,29.56812806403201,41.3848,0.0,0.0,50.0
1789821607.411,4.03,0.565,0.0,884.0,44.75926473526474,42.3848,0.0,0.0,50.0
1789821609.411,4.18,0.62,0.0,867.0,47.628928,43.3848,0.0,0.0,50.0
1789821611.411,2.05,0.62,0.0,879.0,35.63508308308309,44.3848,0.0,0.0,50.0
1789821613.411,3.71,0.679,0.0,879.0,35.75027388376154,45.3848,0.0,0.0,50.0
1789821615.411,3.71,0.659,0.0,872.0,35.783864,46.3848,0.0,0.0,50.0
1789821617.411,1.6,0.586,0.0,872.0,35.72450989231155,47.3848,0.0,0.0,50.0
1789821619.411,1.6,0.59,0.0,872.0,35.722672,48.3848,0.0,0.0,50.0
1789821621.411,1.09,0.586,0.0,850.0,53.89824,49.3848,0.0,0.0,50.0
1789821623.411,1.23,0.489,0.0,834.0,53.778976,50.3848,0.0,0.0,50.0
1789821625.411,15.8,0.557,0.0,834.0,35.06698949474737,51.3848,0.0,0.0,50.0
1789821627.411,17.1,0.659,0.0,778.0,30.350424,35.969359999999995,1.0,0.0,50.0
1789821629.411,17.1,0.697,0.0,1129.0,32.506932,25.178551999999996,1.0,0.0,50.0
1789821631.411,0.95,0.504,0.0,1129.0,19.372202847864106,17.624986399999997,1.0,0.0,50.0
1789821633.411,1.1,0.462,0.0,876.0,0.006992,18.624986399999997,0.0,0.0,50.0
1789821635.411,1.32,0.601,0.0,1.04,0.006718320419895025,19.624986399999997,0.0,0.0,50.0
1789821637.411,1.09,0.62,0.0,1.17,0.006888,20.624986399999997,0.0,0.0,50.0
1789821639.411,1.16,0.749,0.0,1.18,0.00857014253563391,21.624986399999997,0.0,0.0,50.0
1789821641.411,1.16,0.78,0.0,1.12,0.008563718140929535,22.624986399999997,0.0,0.0,50.0
1789821643.411,1.14,0.64,0.0,1.18,0.00688111888111888,23.624986399999997,0.0,0.0,50.0
1789821645.411,0.964,0.563,0.0,1.24,0.006874251497005988,24.624986399999997,0.0,0.0,50.0
1789821647.411,1.02,0.577,0.0,1.61,0.006900075131480091,25.624986399999997,0.0,0.0,50.0
1789821649.411,0.904,0.568,0.0,1.19,0.00673009514271407,26.624986399999997,0.0,0.0,50.0
1789821651.411,0.893,0.597,0.0,1.19,0.006879400749063669,27.624986399999997,0.0,0.0,50.0
1789821653.411,0.896,0.605,0.0,1.18,0.006889722430607652,28.624986399999997,0.0,0.0,50.0
1789821655.411,1.68,0.605,0.0,1.45,0.0067250437828371284,29.624986399999997,0.0,0.0,50.0
1789821657.411,1.48,0.647,0.0,1.51,0.006884557721139431,30.624986399999997,0.0,0.0,50.0
1789821659.411,1.48,0.818,0.0,1.27,0.00855944055944056,31.624986399999997,0.0,0.0,50.0
1789821661.411,1.47,0.789,0.0,1.05,0.008572286143071537,32.6249864,0.0,0.0,50.0
1789821663.411,1.26,0.718,0.0,1.3,0.006893169877408057,33.6249864,0.0,0.0,50.0
1789821665.411,1.26,0.617,0.0,1.25,0.006889722430607652,34.6249864,0.0,0.0,50.0
1789821667.411,1.19,0.589,0.0,1.02,0.006882837871596302,35.6249864,0.0,0.0,50.0
1789821669.411,1.41,0.749,0.0,1.23,0.006708260544047917,0.0,0.0,0.0,50.0
1789821671.411,1.18,0.749,0.0,1.18,0.00689144572286143,0.0,0.0,0.0,50.0
1789821673.411,1.14,0.638,0.0,1.05,0.006900075131480091,0.0,0.0,0.0,50.0
1789821675.411,1.03,0.625,0.0,1.05,0.006723361680840419,0.0,0.0,0.0,50.0
1789821677.411,1.03,0.714,0.0,2.94,0.008572286143071534,0.0,0.0,0.0,50.0
1789821679.411,6.32,0.751,0.0,2.94,0.008565858535366159,0.0,0.0,0.0,50.0
1789821681.411,6.32,0.731,0.0,2.49,0.006888,0.0,0.0,0.0,50.0
1789821683.411,6.32,0.591,0.0,1.17,0.006893169877408057,0.0,0.0,0.0,50.0
1789821685.411,1.57,0.773,0.0,1.26,0.006881118881118882,0.0,0.0,0.0,50.0
1789821687.411,1.57,0.773,0.0,1.17,0.006888,0.0,0.0,0.0,50.0
1789821689.411,1.46,0.68,0.0,1.33,0.006721680420105026,0.0,0.0,0.0,50.0
1789821691.411,1.21,0.729,0.0,1.33,0.006888,0.0,0.0,0.0,50.0
